STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator_1,SUBJECT,Subject_1,MEASURE,Measure_1,FREQUENCY,Frequency_1,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period,"1st midterm, fall 2019 (1)_CNTR_ID","1st midterm, fall 2019 (1)_CNTR_NAME","1st midterm, fall 2019 (1)_NAME_FREN","1st midterm, fall 2019 (1)_ISO3_CODE","1st midterm, fall 2019 (1)_SVRG_UN","1st midterm, fall 2019 (1)_CAPT","1st midterm, fall 2019 (1)_EU_STAT","1st midterm, fall 2019 (1)_EFTA_STAT","1st midterm, fall 2019 (1)_CC_STAT","1st midterm, fall 2019 (1)_NAME_GERM"
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malta,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2004",,3.073,,A,,,,,,,,MT,Malta-Malta,Malte,MLT,UN Member State,Valletta,T,F,F,Malta
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2004",,4.192,,A,,,,,,,,RO,România,Roumanie,ROU,UN Member State,Bucharest,T,F,F,Rumänien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CYP,Cyprus,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2004",,8.533,,A,,,,,,,,CY,Κύπρος-Kıbrıs,Chypre,CYP,UN Member State,Nicosia,T,F,F,Zypern
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CYP,Cyprus,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2004",,8.537,,A,,,,,,,,CY,Κύπρος-Kıbrıs,Chypre,CYP,UN Member State,Nicosia,T,F,F,Zypern
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2004",,4.989,,A,,,,,,,,SE,Sverige,Suède,SWE,UN Member State,Stockholm,T,F,F,Schweden
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2004",,2.301,,A,,,,,,,,PT,Portugal,Portugal,PRT,UN Member State,Lisbon,T,F,F,Portugal
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2004",,25.474,,A,,,,,,,,PL,Polska,Pologne,POL,UN Member State,Warsaw,T,F,F,Polen
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2004",,21.417,,A,,,,,,,,NL,Nederland,Pays-Bas,NLD,UN Member State,Amsterdam,T,F,F,Niederlande
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malta,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2002",,23.725,,A,,,,,,,,MT,Malta-Malta,Malte,MLT,UN Member State,Valletta,T,F,F,Malta
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2002",,5.723,,A,,,,,,,,RO,România,Roumanie,ROU,UN Member State,Bucharest,T,F,F,Rumänien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatia,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2002",,0.875,,A,,,,,,,,HR,Hrvatska,Croatie,HRV,UN Member State,Zagreb,T,F,F,Kroatien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2002",,18.927,,A,,,,,,,,SE,Sverige,Suède,SWE,UN Member State,Stockholm,T,F,F,Schweden
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2002",,31.23,,A,,,,,,,,PL,Polska,Pologne,POL,UN Member State,Warsaw,T,F,F,Polen
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2002",,4.943,,A,,,,,,,,ES,España,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2002",,10.9,,A,,,,,,,,HU,Magyarország,Hongrie,HUN,UN Member State,Budapest,T,F,F,Ungarn
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2002",,6.74,,A,,,,,,,,IT,Italia,Italie,ITA,UN Member State,Rome,T,F,F,Italien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2002",,7.395,,A,,,,,,,,DK,Danmark,Danemark,DNK,UN Member State,Copenhagen,T,F,F,Dänemark
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lithuania,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2006",,25.547,,A,,,,,,,,LT,Lietuva,Lituanie,LTU,UN Member State,Vilnius,T,F,F,Litauen
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2006",,2.49,,A,,,,,,,,LV,Latvija,Lettonie,LVA,UN Member State,Riga,T,F,F,Lettland
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2006",,22.538,,A,,,,,,,,EE,Eesti,Estonie,EST,UN Member State,Tallinn,T,F,F,Estland
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2006",,49.518,,A,,,,,,,,,,,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2006",,18.529,,A,,,,,,,,PT,Portugal,Portugal,PRT,UN Member State,Lisbon,T,F,F,Portugal
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Ireland,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2006",,0.686,,A,,,,,,,,IE,Ireland-Éire,Irlande,IRL,UN Member State,Dublin,T,F,F,Irland
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2006",,23.898,,A,,,,,,,,EL,Ελλάδα,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2001",,10.115,,A,,,,,,,,FI,Suomi-Finland,Finlande,FIN,UN Member State,Helsinki,T,F,F,Finnland
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2001",,16.428,,A,,,,,,,,,,,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2005",,48.57,,A,,,,,,,,DE,Deutschland,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2005",,12.821,,A,,,,,,,,NL,Nederland,Pays-Bas,NLD,UN Member State,Amsterdam,T,F,F,Niederlande
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2005",,23.415,,A,,,,,,,,FR,France,France,FRA,UN Member State,Paris,T,F,F,Frankreich
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2005",,7.61,,A,,,,,,,,BE,Belgien-Belgique-België,Belgique,BEL,UN Member State,Brussels,T,F,F,Belgien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2021",,54.027,,A,,,,,,,,NL,Nederland,Pays-Bas,NLD,UN Member State,Amsterdam,T,F,F,Niederlande
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2021",,44.885,,A,,,,,,,,FR,France,France,FRA,UN Member State,Paris,T,F,F,Frankreich
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2021",,18.132,,A,,,,,,,,BE,Belgien-Belgique-België,Belgique,BEL,UN Member State,Brussels,T,F,F,Belgien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2007",,16.608,,A,,,,,,,,FI,Suomi-Finland,Finlande,FIN,UN Member State,Helsinki,T,F,F,Finnland
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2009",,11.208,,A,,,,,,,,FI,Suomi-Finland,Finlande,FIN,UN Member State,Helsinki,T,F,F,Finnland
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2009",,27.246,,A,,,,,,,,,,,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malta,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2010",,38.771,,A,,,,,,,,MT,Malta-Malta,Malte,MLT,UN Member State,Valletta,T,F,F,Malta
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2010",,23.96,,A,,,,,,,,RO,România,Roumanie,ROU,UN Member State,Bucharest,T,F,F,Rumänien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatia,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2010",,1.128,,A,,,,,,,,HR,Hrvatska,Croatie,HRV,UN Member State,Zagreb,T,F,F,Kroatien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2010",,23.385,,A,,,,,,,,SE,Sverige,Suède,SWE,UN Member State,Stockholm,T,F,F,Schweden
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2010",,44.459,,A,,,,,,,,PL,Polska,Pologne,POL,UN Member State,Warsaw,T,F,F,Polen
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2010",,5.449,,A,,,,,,,,ES,España,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2010",,30.58,,A,,,,,,,,HU,Magyarország,Hongrie,HUN,UN Member State,Budapest,T,F,F,Ungarn
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2010",,8.283,,A,,,,,,,,IT,Italia,Italie,ITA,UN Member State,Rome,T,F,F,Italien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2010",,17.998,,A,,,,,,,,DK,Danmark,Danemark,DNK,UN Member State,Copenhagen,T,F,F,Dänemark
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2012",,8.05,,A,,,,,,,,SI,Slovinsko,Slovénie,SVN,UN Member State,Ljubljana,T,F,F,Slowenien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malta,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2012",,3.82,,A,,,,,,,,MT,Malta-Malta,Malte,MLT,UN Member State,Valletta,T,F,F,Malta
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2012",,30.493,,A,,,,,,,,LV,Latvija,Lettonie,LVA,UN Member State,Riga,T,F,F,Lettland
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2012",,12.989,,A,,,,,,,,RO,România,Roumanie,ROU,UN Member State,Bucharest,T,F,F,Rumänien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CYP,Cyprus,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2012",,8.568,,A,,,,,,,,CY,Κύπρος-Kıbrıs,Chypre,CYP,UN Member State,Nicosia,T,F,F,Zypern
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CYP,Cyprus,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2012",,19.219,,A,,,,,,,,CY,Κύπρος-Kıbrıs,Chypre,CYP,UN Member State,Nicosia,T,F,F,Zypern
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2012",,10.986,,A,,,,,,,,SE,Sverige,Suède,SWE,UN Member State,Stockholm,T,F,F,Schweden
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2012",,3.343,,A,,,,,,,,PT,Portugal,Portugal,PRT,UN Member State,Lisbon,T,F,F,Portugal
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2012",,25.726,,A,,,,,,,,PL,Polska,Pologne,POL,UN Member State,Warsaw,T,F,F,Polen
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2012",,30.328,,A,,,,,,,,NL,Nederland,Pays-Bas,NLD,UN Member State,Amsterdam,T,F,F,Niederlande
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lithuania,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2008",,21.603,,A,,,,,,,,LT,Lietuva,Lituanie,LTU,UN Member State,Vilnius,T,F,F,Litauen
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2008",,49.284,,A,,,,,,,,SI,Slovinsko,Slovénie,SVN,UN Member State,Ljubljana,T,F,F,Slowenien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatia,PROTECTEDAREA,Protected areas,TERREST,Terrestrial,PC_LANDAREA,% of total land area,A,Annual,"2008",,10.74,,A,,,,,,,,HR,Hrvatska,Croatie,HRV,UN Member State,Zagreb,T,F,F,Kroatien
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,PROTECTEDAREA,Protected areas,MARINE,Marine,PC_WATER,% of Exclusive Economic Zones,A,Annual,"2008",,19.444,,A,,,,,,,,EE,Eesti,Estonie,EST,UN Member State,Tallinn,T,F,F,Estland
